text,confidence,x_min,x_max,y_min,y_max,image_id,original_text,cleaned_text,is_valid,cleaning_actions,confidence_score,text_length,digit_ratio,letter_ratio
#,0.7630740825907765,163.8189368770764,176.12458471760797,190.6845298281092,205.7138523761375,df189641,#,,False,"['remove_special_chars', 'remove_too_short']",0.1,0,0.0,0.0
St,0.9974294209597088,236.88372093023256,259.187707641196,183.16986855409505,205.7138523761375,df189641,St,St,True,[],1.0,2,0.0,1.0
5,0.3583929298930002,153.05149501661128,165.35714285714286,195.38119312436805,211.34984833164813,df189641,5,5,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
#N~,0.2949582779519658,139.97674418604652,156.1279069767442,214.16784630940344,229.19716885743173,df189641,#N~,N,False,"['remove_special_chars', 'remove_too_short']",0.1,1,0.0,1.0
CO},0.3798087884531792,186.8920265780731,209.96511627906975,215.1071789686552,240.46916076845295,df189641,CO},CO,True,['remove_special_chars'],1.0,2,0.0,1.0
"""Thornton=",0.442071492091833,119.2109634551495,181.12375415282392,225.43983822042463,257.37714863498485,df189641,"""Thornton=",Thornton,True,['remove_special_chars'],1.0,8,0.0,1.0
E,0.8771423541162484,307.641196013289,319.9468438538206,242.34782608695653,263.95247724974723,df189641,E,E,False,['remove_too_short'],0.1,1,0.0,1.0
6,0.999952316852614,278.4152823920266,289.1827242524917,273.3458038422649,292.1324570273003,df189641,6,6,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
449,0.597606823704881,289.9518272425249,309.1794019933555,265.83114256825075,291.19312436804853,df189641,449,449,True,['high_digit_ratio'],0.5,3,1.0,0.0
EX:,0.2405991107225418,62.29734219269103,85.37043189368771,284.61779575328615,309.04044489383216,df189641,EX:,EX,True,['remove_special_chars'],1.0,2,0.0,1.0
g FF,0.5999232311955103,133.82392026578074,170.74086378737542,283.6784630940344,309.9797775530839,df189641,g FF,g FF,True,[],1.0,4,0.0,0.75
Mks,0.1522075894017964,143.8222591362126,175.35548172757476,302.4651162790698,327.82709807886755,df189641,Mks,Mks,True,[],1.0,3,0.0,1.0
E,0.9068596469604452,321.48504983388705,333.0215946843854,319.3731041456016,340.03842264914056,df189641,E,E,False,['remove_too_short'],0.1,1,0.0,1.0
967696}-,0.7168197517886247,107.67441860465117,160.3579734219269,324.06976744186045,358.82507583417595,df189641,967696}-,967696-,False,"['remove_special_chars', 'high_digit_ratio', 'low_letter_ratio']",0.15,7,0.8571428571428571,0.0
3291,0.2208912521600723,118.44186046511628,143.8222591362126,350.37108190091,373.8543983822042,df189641,3291,3291,True,['high_digit_ratio'],0.5,4,1.0,0.0
6,0.9999957084701804,290.72093023255815,303.0265780730897,350.37108190091,369.1577350859454,df189641,6,6,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
8,0.6519795395406369,324.94601328903656,339.55897009966776,339.56875631951465,364.9307381193124,df189641,8,8,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
3,0.999950171137712,79.60215946843854,93.44601328903654,363.0520728008089,382.77805864509605,df189641,3,3,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
@,0.8081787964190568,96.13787375415282,105.3671096345515,361.6430738119312,374.793731041456,df189641,@,,False,"['remove_special_chars', 'remove_too_short']",0.1,0,0.0,0.0
878137 ,0.385147639066153,114.98089700996678,170.3563122923588,358.82507583417595,396.39838220424673,df189641,878137 ,878137,False,"['remove_extra_spaces', 'remove_special_chars', 'high_digit_ratio', 'low_letter_ratio']",0.15,6,1.0,0.0
48C1,0.350094735622406,164.97259136212625,200.3513289036545,351.78008088978765,383.7173913043478,df189641,48C1,48C1,True,[],1.0,4,0.75,0.25
"{6,49",0.4471214557795176,288.4136212624585,326.0996677740864,362.582406471183,388.8837209302325,df189641,"{6,49","6,49",True,['remove_special_chars'],1.0,4,0.75,0.0
A,0.3760024089101286,329.56063122923587,337.2516611295681,363.0520728008089,377.14206268958543,df189641,A,A,False,['remove_too_short'],0.1,1,0.0,1.0
paN;,0.236182142626316,230.34634551495017,261.11046511627904,379.02072800808895,407.20070778564207,df189641,paN;,paN,True,['remove_special_chars'],1.0,3,0.0,1.0
48.47,0.2883610098297761,283.41445182724254,331.8679401993355,380.8993933265925,410.01870576339735,df189641,48.47,48.47,True,[],1.0,5,0.8,0.0
40,0.5276853098594352,124.97923588039868,143.437707641196,410.9580384226491,431.6233569261881,df189641,40,40,True,['high_digit_ratio'],0.5,2,1.0,0.0
M,0.5155916125778539,206.50415282392024,212.65697674418604,436.3200202224469,448.5313447927199,df189641,M,M,False,['remove_too_short'],0.1,1,0.0,1.0
JACK 2,0.800408678395653,213.04152823920265,260.72591362126246,439.6076845298281,473.4236602628918,df189641,JACK 2,JACK 2,True,[],1.0,6,0.16666666666666666,0.6666666666666666
3,0.7599822478059401,309.5639534883721,316.4858803986711,452.288675429727,464.5,df189641,3,3,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
61_,0.8144330621888238,320.7159468438538,340.7126245847176,441.48634984833166,464.96966632962585,df189641,61_,61_,True,[],1.0,3,0.6666666666666666,0.0
2,0.9946111518477352,312.6403654485049,319.562292358804,467.3179979777553,479.5293225480283,df189641,2,2,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
152,0.5160054564476013,322.63870431893685,342.63538205980063,461.6820020222447,481.4079878665319,df189641,152,152,True,['high_digit_ratio'],0.5,3,1.0,0.0
89,0.9999372860654112,311.1021594684385,327.2533222591362,506.7699696663296,523.6779575328615,df189641,89,89,True,['high_digit_ratio'],0.5,2,1.0,0.0
X,0.3095400381137239,142.66860465116278,150.35963455149502,531.1926188068757,543.4039433771486,df189641,X,X,False,['remove_too_short'],0.1,1,0.0,1.0
Prntd',0.5706031886846621,244.9593023255814,286.4908637873754,514.2846309403437,542.4646107178969,df189641,Prntd',Prntd,True,['remove_special_chars'],1.0,5,0.0,1.0
65,0.996627475699599,341.48172757475083,360.7093023255814,559.8422649140546,582.3862487360971,df189641,65,65,True,['high_digit_ratio'],0.5,2,1.0,0.0
9(,0.2370260943219207,346.4808970099668,362.6320598006644,583.7952477249747,600.7032355915065,df189641,9(,9(,True,[],1.0,2,0.5,0.0
Tax,0.7779423032995822,175.74003322259136,199.58222591362127,600.7032355915065,618.5505561172902,df189641,Tax,Tax,True,[],1.0,3,0.0,1.0
3352,0.150148868560791,335.32890365448503,369.9385382059801,600.2335692618807,623.7168857431749,df189641,3352,3352,True,['high_digit_ratio'],0.5,4,1.0,0.0
A=,0.2177033844751536,118.44186046511628,128.44019933554816,617.1415571284125,634.0495449949444,df189641,A=,A,False,"['remove_special_chars', 'remove_too_short']",0.1,1,0.0,1.0
Ez:,0.1033595837479182,118.82641196013287,152.66694352159467,627.0045500505561,657.0631951466128,df189641,Ez:,Ez,True,['remove_special_chars'],1.0,2,0.0,1.0
OF:;,0.1669901311397552,209.5805647840532,228.0390365448505,652.3665318503539,673.0318503538928,df189641,OF:;,OF,True,['remove_special_chars'],1.0,2,0.0,1.0
44,0.7097785017590299,311.1021594684385,338.0207641196013,648.6092012133468,676.7891809908999,df189641,44,44,True,['high_digit_ratio'],0.5,2,1.0,0.0
716700,0.1095973622272449,195.35215946843851,241.4983388704319,665.0475227502528,698.8634984833164,df189641,716700,716700,False,"['high_digit_ratio', 'low_letter_ratio']",0.15,6,1.0,0.0
629:,0.1908604353666305,238.8064784053156,273.031561461794,662.6991911021233,691.3488372093024,df189641,629:,629,True,"['remove_special_chars', 'high_digit_ratio']",0.5,3,1.0,0.0
NG:,0.3522375291962494,156.8970099667774,179.20099667774085,705.4388270980788,729.8614762386248,df189641,NG:,NG,True,['remove_special_chars'],1.0,2,0.0,1.0
Nane,0.865028440952301,179.20099667774085,214.9642857142857,699.3331648129424,724.2254802831143,df189641,Nane,Nane,True,[],1.0,4,0.0,1.0
'A32,0.1018616929650306,316.4858803986711,381.859634551495,707.3174924165824,739.2548028311426,df189641,'A32,A32,True,['remove_special_chars'],1.0,3,0.6666666666666666,0.3333333333333333
m,0.4953726468230002,375.3222591362126,393.0116279069768,712.0141557128412,727.0434782608695,df189641,m,m,False,['remove_too_short'],0.1,1,0.0,1.0
4,0.9996806638112652,243.80564784053155,255.3421926910299,751.4661274014155,772.1314459049545,df189641,4,4,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
{hse:,0.2705680370888901,144.59136212624583,186.50747508305648,766.025783619818,796.5540950455005,df189641,{hse:,hse,True,['remove_special_chars'],1.0,3,0.0,1.0
;,0.3695104811215834,182.6619601328904,188.0456810631229,770.7224469160768,782.9337714863499,df189641,;,,False,"['remove_special_chars', 'remove_too_short']",0.1,0,0.0,0.0
1,0.7913205709964046,66.08257194936468,72.740517751632,24.42811056263022,55.88483180339607,df189641,1,1,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
(23,0.3558010263596926,199.7610036603038,263.2389963396962,118.80305994885582,151.72474591565378,df189641,(23,(23,True,[],1.0,3,0.6666666666666666,0.0
#6223',0.6032400300470777,204.93368830525088,259.60451767481555,164.02245694942243,197.15095053288292,df189641,#6223',6223,True,"['remove_special_chars', 'high_digit_ratio']",0.5,4,1.0,0.0
naton,0.4412869001487201,195.03438027368128,237.970603115023,183.55023518083823,219.42347563817088,df189641,naton,naton,True,[],1.0,5,0.0,1.0
Them,0.3629357814788818,105.01863254280757,154.9381780884217,194.7486721249637,224.66336023095135,df189641,Them,Them,True,[],1.0,4,0.0,1.0
{Washir,0.3164995466681956,163.149800212545,203.32777453828555,197.21122213561,225.95814085731212,df189641,{Washir,Washir,True,['remove_special_chars'],1.0,6,0.0,1.0
{80023,0.7660237074902334,204.6604289116204,249.87943819801416,201.79663455611063,234.52338566633625,df189641,{80023,80023,True,"['remove_special_chars', 'high_digit_ratio']",0.5,5,1.0,0.0
6375:,0.4022075806240663,109.86340403782263,145.86334014822387,211.4942204878224,241.7337876011564,df189641,6375:,6375,True,"['remove_special_chars', 'high_digit_ratio']",0.5,4,1.0,0.0
23.99,0.3874328249380451,263.69390713900486,308.1341659506962,239.8278956591489,277.27473325895016,df189641,23.99,23.99,True,[],1.0,5,0.8,0.0
7011826278335,0.2899906971568865,125.14721522642054,220.56457879351305,243.2966436943137,296.81963537545374,df189641,7011826278335,7011826278335,False,"['high_digit_ratio', 'low_letter_ratio']",0.15,13,1.0,0.0
3t,0.1596195493657751,427.6487668539204,437.2075454384384,263.7345487876396,269.3367353377396,df189641,3t,3t,True,[],1.0,2,0.5,0.5
(@reAST,0.1160487161558009,190.54032292687705,244.38741793691037,258.85216763919266,298.1720992971066,df189641,(@reAST,(reAST,True,['remove_special_chars'],1.0,6,0.0,0.8333333333333334
'Member 4,0.2459666992101798,80.10503450038334,139.4738691541017,267.42731754421374,307.4442699178692,df189641,'Member 4,Member 4,True,['remove_special_chars'],1.0,8,0.125,0.75
"""VoMi",0.1287526659476069,212.0867569939629,247.06772805587104,280.3580721473033,312.36083584056325,df189641,"""VoMi",VoMi,True,['remove_special_chars'],1.0,4,0.0,1.0
2.97!,0.2875702752226288,275.3066118932908,316.1335874422574,283.00538917278146,314.41018211134394,df189641,2.97!,2.97!,True,[],1.0,5,0.6,0.0
6739,0.7938336099252193,105.8868975969278,139.8415077186868,289.0277302734272,318.2508339328418,df189641,6739,6739,True,['high_digit_ratio'],0.5,4,1.0,0.0
"DiCED,",0.5180263410140804,173.666394404062,216.65337303779847,289.62404937510604,321.41184546817,df189641,"DiCED,","DiCED,",True,[],1.0,6,0.0,0.8333333333333334
JackorGsALSA;,0.3674699049720656,154.97425249169436,251.4966777408638,295.8563039526135,347.5865676348486,df189641,JackorGsALSA;,JackorGsALSA,True,['remove_special_chars'],1.0,12,0.0,1.0
1,0.8851664578810983,65.99235770933417,81.67541637704457,304.8321793491575,347.53435250119634,df189641,1,1,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
63356,0.9914830589395074,107.90808875622147,150.5105158949413,306.52007024751646,338.33180032882325,df189641,63356,63356,True,['high_digit_ratio'],0.5,5,1.0,0.0
412+87 =,0.2802671529421995,271.3466943281044,323.9390199576099,312.8140969970744,362.5660850049479,df189641,412+87 =,41287 ,False,"['remove_special_chars', 'high_digit_ratio', 'low_letter_ratio']",0.15,6,0.8333333333333334,0.0
;,0.4215351219669152,65.2084225517262,70.53825518913759,328.80255891732133,340.9416271291903,df189641,;,,False,"['remove_special_chars', 'remove_too_short']",0.1,0,0.0,0.0
329,0.2302570544479123,295.71317067204245,324.1838392947349,339.85073978452164,369.8150842801902,df189641,329,329,True,['high_digit_ratio'],0.5,3,1.0,0.0
LegGs,0.2321938774474773,196.6213958450148,236.76813903870607,340.5425821455498,377.10756952280207,df189641,LegGs,LegGs,True,[],1.0,5,0.0,1.0
ToMatO,0.1335714121194359,204.4992573175577,256.5779852073593,356.617353914514,393.4397744980239,df189641,ToMatO,ToMatO,True,[],1.0,6,0.0,1.0
GRAPE,0.7323696318095719,166.3599159987464,208.57779164244965,371.3219155514288,403.1578620016551,df189641,GRAPE,GRAPE,True,[],1.0,5,0.0,1.0
E,0.4344811641675825,75.11729337256152,97.54632788989694,374.0381781202227,426.2732475622849,df189641,E,E,False,['remove_too_short'],0.1,1,0.0,1.0
1,0.519601421985616,330.1290683079052,348.2197689013972,376.2172373155369,421.27619038921534,df189641,1,1,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
77053,0.9215271236971292,126.07371770571424,168.8772789720266,382.1780098034537,413.436752582795,df189641,77053,77053,True,['high_digit_ratio'],0.5,5,1.0,0.0
HHale:,0.1084196164139277,196.70183826989725,231.6885271786077,384.8727237264944,414.96903562638727,df189641,HHale:,HHale,True,['remove_special_chars'],1.0,5,0.0,1.0
3159,0.4076449275016784,297.2977734767485,333.75122984551064,398.9157749837928,429.5756304762679,df189641,3159,3159,True,['high_digit_ratio'],0.5,4,1.0,0.0
4609,0.7969601154327393,136.09897069727745,171.54222531601158,400.2333441087547,431.5457256586871,df189641,4609,4609,True,['high_digit_ratio'],0.5,4,1.0,0.0
55992,0.8209001526914592,131.96793509095704,173.75050344724897,418.0443761052294,450.8383337026573,df189641,55992,55992,True,['high_digit_ratio'],0.5,5,1.0,0.0
CHPDi,0.285884355045122,174.6258465664495,209.9256484501618,430.3778214592844,460.10953951139305,df189641,CHPDi,CHPDi,True,[],1.0,5,0.0,1.0
1,0.672301360505628,83.68806459672733,107.04947693151186,432.5892612402165,505.3343990226753,df189641,1,1,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
263423,0.995522376809853,128.07258960277298,176.10764295536654,439.61369385823247,471.5389856159839,df189641,263423,263423,False,"['high_digit_ratio', 'low_letter_ratio']",0.15,6,1.0,0.0
MoNT ;,0.3055548315009119,177.7980271650341,215.2136007419426,449.7927360206409,478.7375976497332,df189641,MoNT ;,MoNT ,True,['remove_special_chars'],1.0,5,0.0,0.8
22101,0.8967945810753668,137.4574136239769,178.6439152796776,456.4641061667554,491.3225470182799,df189641,22101,22101,True,['high_digit_ratio'],0.5,5,1.0,0.0
SubTOTAL ;,0.327627168909587,145.44563756314736,211.80270130728456,467.3587964331032,510.0168355183628,df189641,SubTOTAL ;,SubTOTAL ,True,['remove_special_chars'],1.0,9,0.0,0.8888888888888888
Checkzvember;: !,0.2840326405961851,153.35795986047586,248.88290392689956,518.5789663031022,566.8199214623174,df189641,Checkzvember;: !,Checkzvember !,True,['remove_special_chars'],1.0,14,0.0,0.8571428571428571
{Change:,0.2283363552495426,154.00793090029896,207.85502591033227,550.6784806792981,586.3837033449688,df189641,{Change:,Change,True,['remove_special_chars'],1.0,6,0.0,1.0
8; 502,0.1031013343483495,128.688483170539,173.95354340753408,598.193632125096,636.0894821317291,df189641,8; 502,8 502,True,['remove_special_chars'],1.0,5,0.8,0.0
ITEMS SOLD;,0.541368443473441,225.88250042274493,310.1822836304112,627.7496653279643,674.1654003949882,df189641,ITEMS SOLD;,ITEMS SOLD,True,['remove_special_chars'],1.0,10,0.0,0.9
Tex;,0.1786647737026214,163.2013997893706,200.5843144963437,636.1795812170001,666.6748171652041,df189641,Tex;,Tex,True,['remove_special_chars'],1.0,3,0.0,1.0
ToTAL;,0.2870899279272768,119.20403445941788,164.21041736782465,645.6314932218098,679.297222652811,df189641,ToTAL;,ToTAL,True,['remove_special_chars'],1.0,5,0.0,1.0
NUMBER,0.8490166976648971,157.3998849987222,211.00044722719144,652.4661528328985,690.7795498971318,df189641,NUMBER,NUMBER,True,[],1.0,6,0.0,1.0
4412 `,0.1296561464898691,268.17800487624675,314.0329585789027,651.5634059116073,685.5766345332866,df189641,4412 `,4412 ,True,['remove_special_chars'],1.0,5,0.8,0.0
ToTAl,0.102599991207989,113.52303045922406,163.73859744775268,663.628365907089,701.6916543153578,df189641,ToTAl,ToTAl,True,[],1.0,5,0.0,1.0
FEPPER: .,0.3312438374738078,221.21762083868964,275.62291072277213,680.3940916556597,715.4542399924696,df189641,FEPPER: .,FEPPER .,True,['remove_special_chars'],1.0,8,0.0,0.75
'Thani,0.5806164786016086,191.240416560184,249.8401482238692,705.6815949587881,743.7086982666922,df189641,'Thani,Thani,True,['remove_special_chars'],1.0,5,0.0,1.0
Jpis;,0.1086665547732018,165.0566339011916,216.0338976602702,737.6873660002136,770.8808847581281,df189641,Jpis;,Jpis,True,['remove_special_chars'],1.0,4,0.0,1.0
Trm,0.7521436035269157,212.08514578299256,242.454721326642,749.6859983469604,782.8352352223013,df189641,Trm,Trm,True,[],1.0,3,0.0,1.0
{629;,0.2706367798371425,183.9508510852999,215.5981522369592,757.2847759179267,785.0994505734787,df189641,{629;,629,True,"['remove_special_chars', 'high_digit_ratio']",0.5,3,1.0,0.0
